"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 17/06/2010,    2500.821,     20,    2451.416,     20,    2523.182,     20, 
00:00:00 18/06/2010,    2379.263,     20,    2252.349,     20,    2494.093,     20, 
00:00:00 19/06/2010,    2171.048,     20,    2099.534,     20,    2252.349,     20, 
00:00:00 20/06/2010,    2030.468,     20,    1961.402,     20,    2099.534,     20, 
00:00:00 21/06/2010,    1897.343,     20,    1838.290,     20,    1961.402,     20, 
00:00:00 22/06/2010,    1784.964,     20,    1744.170,     20,    1838.290,     20, 
00:00:00 23/06/2010,    1726.944,     20,    1719.014,     20,    1744.170,     20, 
00:00:00 24/06/2010,    1733.179,     20,    1724.337,     20,    1759.478,     20, 
00:00:00 25/06/2010,    1896.774,     20,    1759.478,     20,    2297.894,     20, 
00:00:00 26/06/2010,    3946.898,     20,    2297.894,     20,    4718.952,     20, 
00:00:00 27/06/2010,    4532.600,     20,    4052.624,     20,    4718.952,     20, 
00:00:00 28/06/2010,    3354.323,     20,    2872.933,     20,    4052.624,     20, 
00:00:00 29/06/2010,    2559.575,     20,    2264.791,     20,    2872.933,     20, 
00:00:00 30/06/2010,    2121.648,     20,    1971.994,     20,    2264.791,     20, 
00:00:00 01/07/2010,    1953.050,     20,    1934.107,     20,    1971.994,     20, 
00:00:00 02/07/2010,    1973.876,     20,    1934.107,     20,    1991.174,     20, 
00:00:00 03/07/2010,    1924.282,     20,    1860.311,     20,    1975.590,     20, 
00:00:00 04/07/2010,    1804.560,     20,    1768.637,     20,    1860.311,     20, 
00:00:00 05/07/2010,    1751.542,     20,    1736.165,     20,    1768.637,     20, 
00:00:00 06/07/2010,    1807.081,     20,    1764.891,     20,    1862.295,     20, 
00:00:00 07/07/2010,    1905.853,     20,    1862.295,     20,    1936.593,     20, 
00:00:00 08/07/2010,    1961.094,     20,    1936.593,     20,    1982.629,     20, 
00:00:00 09/07/2010,    2004.568,     20,    1982.629,     20,    2030.567,     20, 
00:00:00 10/07/2010,    2060.627,     20,    2030.567,     20,    2090.686,     20, 
00:00:00 11/07/2010,    2120.745,     20,    2090.686,     20,    2150.804,     20, 
00:00:00 12/07/2010,    2197.104,     20,    2150.804,     20,    2259.644,     20, 
00:00:00 13/07/2010,    2387.034,     20,    2259.644,     20,    2502.610,     20, 
00:00:00 14/07/2010,    2561.762,     20,    2502.610,     20,    2594.203,     20, 
00:00:00 15/07/2010,    2544.633,     20,    2499.258,     20,    2573.838,     20, 
00:00:00 16/07/2010,    2382.521,     20,    2188.418,     20,    2499.258,     20, 
00:00:00 17/07/2010,    2043.571,     20,    1896.782,     20,    2188.418,     20, 
00:00:00 18/07/2010,    1904.304,     20,    1860.062,     20,    1947.322,     20, 
00:00:00 19/07/2010,    1950.174,     20,    1934.107,     20,    1971.994,     20, 
00:00:00 20/07/2010,    1575.545,     20,    1296.950,     20,    1934.107,     20, 
00:00:00 21/07/2010,    1426.983,     20,    1319.705,     20,    1567.058,     20, 
00:00:00 22/07/2010,    1730.755,     20,    1567.058,     20,    1788.394,     20, 
00:00:00 23/07/2010,    1664.986,     20,    1610.218,     20,    1753.445,     20, 
00:00:00 24/07/2010,    1603.239,     20,    1602.936,     20,    1610.218,     20, 
00:00:00 25/07/2010,    1776.299,     20,    1602.936,     20,    2181.751,     20, 
00:00:00 26/07/2010,    2372.507,     20,    2181.751,     20,    2791.714,     20, 
00:00:00 27/07/2010,    4370.339,     20,    2791.714,     20,    5314.464,     20, 
00:00:00 28/07/2010,    5651.499,     10,    5250.571,     10,    6099.001,     10, 
00:00:00 29/07/2010,    6124.594,     10,    5906.866,     10,    6246.202,     10, 
00:00:00 30/07/2010,    5663.749,     10,    5406.091,     10,    5906.866,     10, 
00:00:00 31/07/2010,    5187.578,     10,    5011.096,     10,    5406.091,     10, 
00:00:00 01/08/2010,    4919.330,     10,    4853.978,     10,    5011.096,     10, 
00:00:00 02/08/2010,    4804.546,     10,    4765.711,     10,    4853.978,     10, 
00:00:00 03/08/2010,    4631.029,     20,    4400.816,     20,    4765.711,     20, 
00:00:00 04/08/2010,    3968.954,     20,    3581.245,     20,    4400.816,     20, 
00:00:00 05/08/2010,    3290.577,     20,    3083.314,     20,    3581.245,     20, 
00:00:00 06/08/2010,    2871.415,     20,    2702.480,     20,    3083.314,     20, 
00:00:00 07/08/2010,    2537.410,     20,    2376.154,     20,    2702.480,     20, 
00:00:00 08/08/2010,    2236.967,     20,    2129.846,     20,    2376.154,     20, 
00:00:00 09/08/2010,    2073.766,     20,    2049.667,     20,    2129.846,     20, 
00:00:00 10/08/2010,    1973.624,     20,    1915.358,     20,    2150.280,     20, 
00:00:00 11/08/2010,    3378.597,     20,    2150.280,     20,    4736.750,     20, 
00:00:00 12/08/2010,    4986.344,     10,    4736.750,     10,    5105.117,     10, 
00:00:00 13/08/2010,    4588.209,     20,    3974.357,     20,    4897.714,     20, 
00:00:00 14/08/2010,    3321.920,     20,    2868.869,     20,    3974.357,     20, 
00:00:00 15/08/2010,    2531.902,     20,    2295.321,     20,    2868.869,     20, 
00:00:00 16/08/2010,    2140.139,     20,    2049.667,     20,    2295.321,     20, 
00:00:00 17/08/2010,    2092.148,     20,    2028.845,     20,    2129.846,     20, 
00:00:00 18/08/2010,    1939.722,     20,    1865.005,     20,    2028.845,     20, 
00:00:00 19/08/2010,    1780.791,     20,    1685.189,     20,    1865.005,     20, 
00:00:00 20/08/2010,    1621.921,     20,    1568.463,     20,    1685.189,     20, 
00:00:00 21/08/2010,    1538.409,     20,    1508.354,     20,    1568.463,     20, 
00:00:00 22/08/2010,    1477.920,     20,    1445.967,     20,    1508.354,     20, 
00:00:00 23/08/2010,    1412.502,     20,    1379.174,     20,    1445.967,     20, 
00:00:00 24/08/2010,    1347.430,     20,    1319.733,     20,    1379.174,     20, 
00:00:00 25/08/2010,    1292.340,     20,    1262.295,     20,    1319.733,     20, 
00:00:00 26/08/2010,    1238.173,     20,    1218.754,     20,    1262.295,     20, 
00:00:00 27/08/2010,    1208.066,     20,    1202.490,     20,    1218.754,     20, 
00:00:00 28/08/2010,    1200.079,     20,    1199.362,     20,    1202.490,     20, 
00:00:00 29/08/2010,    1220.815,     20,    1199.362,     20,    1321.738,     20, 
00:00:00 30/08/2010,    1498.988,     20,    1321.738,     20,    1755.216,     20, 
00:00:00 31/08/2010,    2267.435,     20,    1755.216,     20,    3138.912,     20, 
00:00:00 01/09/2010,    4461.802,     20,    3138.912,     20,    4969.642,     20, 
00:00:00 02/09/2010,    4930.309,     10,    4852.872,     10,    4996.642,     10, 
00:00:00 03/09/2010,    4515.255,     20,    4012.848,     20,    4852.872,     20, 
00:00:00 04/09/2010,    3533.503,     20,    3186.806,     20,    4012.848,     20, 
00:00:00 05/09/2010,    3024.531,     20,    2921.314,     20,    3186.806,     20, 
00:00:00 06/09/2010,    3214.505,     20,    2974.493,     20,    4512.413,     20, 
00:00:00 07/09/2010,    4765.976,     20,    4512.413,     20,    4933.613,     20, 
