"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 13/07/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 14/07/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 15/07/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 16/07/1975,     729.689,      9,     659.621,      9,     804.902,      9, 
00:00:00 17/07/1975,     659.621,      9,     659.621,      9,     659.621,      9, 
00:00:00 18/07/1975,     669.064,      9,     659.621,      9,     699.710,      9, 
00:00:00 19/07/1975,     676.138,      9,     659.621,      9,     696.557,      9, 
00:00:00 20/07/1975,     659.621,      9,     659.621,      9,     659.621,      9, 
00:00:00 21/07/1975,     659.192,      9,     653.746,      9,     659.621,      9, 
00:00:00 22/07/1975,     636.253,      9,     621.043,      9,     653.746,      9, 
00:00:00 23/07/1975,     652.801,      9,     638.928,      9,     659.621,      9, 
00:00:00 24/07/1975,     616.773,      9,     590.328,      9,     638.928,      9, 
00:00:00 25/07/1975,     609.121,      9,     584.237,      9,     659.621,      9, 
00:00:00 26/07/1975,     640.880,      9,     584.237,      9,     659.621,      9, 
00:00:00 27/07/1975,     621.353,      9,     553.318,      9,     659.621,      9, 
00:00:00 28/07/1975,     606.614,      9,     549.115,      9,     621.043,      9, 
00:00:00 29/07/1975,     624.308,      9,     577.600,      9,     659.621,      9, 
00:00:00 30/07/1975,     613.670,      9,     549.115,      9,     699.710,      9, 
00:00:00 31/07/1975,     584.252,      9,     549.115,      9,     621.043,      9, 
00:00:00 01/08/1975,     572.378,      9,     549.115,      9,     621.043,      9, 
00:00:00 02/08/1975,     560.555,      9,     549.115,      9,     584.237,      9, 
00:00:00 03/08/1975,     519.511,      9,     515.678,      9,     551.362,      9, 
00:00:00 04/08/1975,     545.911,      9,     515.678,      9,     549.115,      9, 
